Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,Median Household Income,Data Time Period,Geographic Vintage,Data Source,Selected Location
County,Apache,AZ,4001,04001,41438,2020-2024,2022,Census,Arizona (State)
County,Cochise,AZ,4003,04003,59742,2020-2024,2022,Census,Arizona (State)
County,Coconino,AZ,4005,04005,72966,2020-2024,2022,Census,Arizona (State)
County,Gila,AZ,4007,04007,61986,2020-2024,2022,Census,Arizona (State)
County,Graham,AZ,4009,04009,67325,2020-2024,2022,Census,Arizona (State)
County,Greenlee,AZ,4011,04011,71164,2020-2024,2022,Census,Arizona (State)
County,La Paz,AZ,4012,04012,49478,2020-2024,2022,Census,Arizona (State)
County,Maricopa,AZ,4013,04013,89300,2020-2024,2022,Census,Arizona (State)
County,Mohave,AZ,4015,04015,57684,2020-2024,2022,Census,Arizona (State)
County,Navajo,AZ,4017,04017,54606,2020-2024,2022,Census,Arizona (State)
County,Pima,AZ,4019,04019,70315,2020-2024,2022,Census,Arizona (State)
County,Pinal,AZ,4021,04021,80266,2020-2024,2022,Census,Arizona (State)
County,Santa Cruz,AZ,4023,04023,55217,2020-2024,2022,Census,Arizona (State)
County,Yavapai,AZ,4025,04025,69613,2020-2024,2022,Census,Arizona (State)
County,Yuma,AZ,4027,04027,62876,2020-2024,2022,Census,Arizona (State)
