county,total_population,median_age,year
Apache County,65341,36.6,2024
Cochise County,125566,43.0,2024
Coconino County,144508,32.8,2024
Gila County,53795,51.1,2024
Graham County,39232,34.9,2024
Greenlee County,9409,36.3,2024
La Paz County,16664,60.2,2024
Maricopa County,4559748,37.6,2024
Mohave County,220517,53.6,2024
Navajo County,108415,39.5,2024
Pima County,1060490,39.8,2024
Pinal County,469006,40.4,2024
Santa Cruz County,48926,37.9,2024
Yavapai County,245480,55.1,2024
Yuma County,211741,36.1,2024
