county,poverty_rate,year
Apache County,30.5,2024
Cochise County,15.4,2024
Coconino County,16.8,2024
Gila County,16.9,2024
Graham County,17.3,2024
Greenlee County,8.2,2024
La Paz County,17.5,2024
Maricopa County,11.0,2024
Mohave County,16.1,2024
Navajo County,24.7,2024
Pima County,14.3,2024
Pinal County,11.1,2024
Santa Cruz County,20.2,2024
Yavapai County,12.0,2024
Yuma County,15.6,2024
Apache County,30.5,2024
Cochise County,15.4,2024
Coconino County,16.8,2024
Gila County,16.9,2024
Graham County,17.3,2024
Greenlee County,8.2,2024
La Paz County,17.5,2024
Maricopa County,11.0,2024
Mohave County,16.1,2024
Navajo County,24.7,2024
Pima County,14.3,2024
Pinal County,11.1,2024
Santa Cruz County,20.2,2024
Yavapai County,12.0,2024
Yuma County,15.6,2024
