county,year,labor_force,employment,unemployment,unemployment_rate
Apache County,2010,23119,19325,3794,16.4
Apache County,2011,22883,18661,4222,18.5
Apache County,2012,22677,18352,4325,19.1
Apache County,2013,21753,17710,4043,18.6
Apache County,2014,20921,17624,3297,15.8
Apache County,2015,20257,17549,2708,13.4
Apache County,2016,20131,17861,2270,11.3
Apache County,2017,20183,18136,2047,10.1
Apache County,2018,20241,18299,1942,9.6
Apache County,2019,20076,18143,1933,9.6
Apache County,2020,19829,17391,2438,12.3
Apache County,2021,19110,17415,1695,8.9
Apache County,2022,18555,17201,1354,7.3
Apache County,2023,18619,17332,1287,6.9
Apache County,2024,18218,16964,1254,6.9
Cochise County,2010,56251,50998,5253,9.3
Cochise County,2011,55539,50246,5293,9.5
Cochise County,2012,53545,48684,4861,9.1
Cochise County,2013,51057,46315,4742,9.3
Cochise County,2014,50238,45989,4249,8.5
Cochise County,2015,49424,45804,3620,7.3
Cochise County,2016,46870,43730,3140,6.7
Cochise County,2017,46490,43707,2783,6.0
Cochise County,2018,46920,44184,2736,5.8
Cochise County,2019,47644,44750,2894,6.1
Cochise County,2020,49068,45529,3539,7.2
Cochise County,2021,47667,45184,2483,5.2
Cochise County,2022,47400,45277,2123,4.5
Cochise County,2023,47917,45809,2108,4.4
Cochise County,2024,47983,45945,2038,4.2
Coconino County,2010,71859,64767,7092,9.9
Coconino County,2011,71201,64408,6793,9.5
Coconino County,2012,70571,64467,6104,8.6
Coconino County,2013,70530,64731,5799,8.2
Coconino County,2014,71197,66119,5078,7.1
Coconino County,2015,71975,67265,4710,6.5
Coconino County,2016,70686,66167,4519,6.4
Coconino County,2017,71696,67483,4213,5.9
Coconino County,2018,72916,68760,4156,5.7
Coconino County,2019,73657,69289,4368,5.9
Coconino County,2020,71202,64173,7029,9.9
Coconino County,2021,70420,66016,4404,6.3
Coconino County,2022,72287,69141,3146,4.4
Coconino County,2023,73966,70987,2979,4.0
Coconino County,2024,75759,72839,2920,3.9
Gila County,2010,21330,18660,2670,12.5
Gila County,2011,21030,18599,2431,11.6
Gila County,2012,20792,18654,2138,10.3
Gila County,2013,20805,18781,2024,9.7
Gila County,2014,21108,19344,1764,8.4
Gila County,2015,20833,19179,1654,7.9
Gila County,2016,20989,19470,1519,7.2
Gila County,2017,21199,19915,1284,6.1
Gila County,2018,21215,20001,1214,5.7
Gila County,2019,21195,20017,1178,5.6
Gila County,2020,20873,19315,1558,7.5
Gila County,2021,20823,19778,1045,5.0
Gila County,2022,20769,19934,835,4.0
Gila County,2023,21121,20287,834,3.9
Gila County,2024,21412,20626,786,3.7
