GEO_ID,NAME,S2301_C01_001E,S2301_C01_001M,S2301_C01_002E,S2301_C01_002M,S2301_C01_003E,S2301_C01_003M,S2301_C01_004E,S2301_C01_004M,S2301_C01_005E,S2301_C01_005M,S2301_C01_006E,S2301_C01_006M,S2301_C01_007E,S2301_C01_007M,S2301_C01_008E,S2301_C01_008M,S2301_C01_009E,S2301_C01_009M,S2301_C01_010E,S2301_C01_010M,S2301_C01_011E,S2301_C01_011M,S2301_C01_012E,S2301_C01_012M,S2301_C01_013E,S2301_C01_013M,S2301_C01_014E,S2301_C01_014M,S2301_C01_015E,S2301_C01_015M,S2301_C01_016E,S2301_C01_016M,S2301_C01_017E,S2301_C01_017M,S2301_C01_018E,S2301_C01_018M,S2301_C01_019E,S2301_C01_019M,S2301_C01_020E,S2301_C01_020M,S2301_C01_021E,S2301_C01_021M,S2301_C01_022E,S2301_C01_022M,S2301_C01_023E,S2301_C01_023M,S2301_C01_024E,S2301_C01_024M,S2301_C01_025E,S2301_C01_025M,S2301_C01_026E,S2301_C01_026M,S2301_C01_027E,S2301_C01_027M,S2301_C01_028E,S2301_C01_028M,S2301_C01_029E,S2301_C01_029M,S2301_C01_030E,S2301_C01_030M,S2301_C01_031E,S2301_C01_031M,S2301_C01_032E,S2301_C01_032M,S2301_C01_033E,S2301_C01_033M,S2301_C01_034E,S2301_C01_034M,S2301_C01_035E,S2301_C01_035M,S2301_C02_001E,S2301_C02_001M,S2301_C02_002E,S2301_C02_002M,S2301_C02_003E,S2301_C02_003M,S2301_C02_004E,S2301_C02_004M,S2301_C02_005E,S2301_C02_005M,S2301_C02_006E,S2301_C02_006M,S2301_C02_007E,S2301_C02_007M,S2301_C02_008E,S2301_C02_008M,S2301_C02_009E,S2301_C02_009M,S2301_C02_010E,S2301_C02_010M,S2301_C02_011E,S2301_C02_011M,S2301_C02_012E,S2301_C02_012M,S2301_C02_013E,S2301_C02_013M,S2301_C02_014E,S2301_C02_014M,S2301_C02_015E,S2301_C02_015M,S2301_C02_016E,S2301_C02_016M,S2301_C02_017E,S2301_C02_017M,S2301_C02_018E,S2301_C02_018M,S2301_C02_019E,S2301_C02_019M,S2301_C02_020E,S2301_C02_020M,S2301_C02_021E,S2301_C02_021M,S2301_C02_022E,S2301_C02_022M,S2301_C02_023E,S2301_C02_023M,S2301_C02_024E,S2301_C02_024M,S2301_C02_025E,S2301_C02_025M,S2301_C02_026E,S2301_C02_026M,S2301_C02_027E,S2301_C02_027M,S2301_C02_028E,S2301_C02_028M,S2301_C02_029E,S2301_C02_029M,S2301_C02_030E,S2301_C02_030M,S2301_C02_031E,S2301_C02_031M,S2301_C02_032E,S2301_C02_032M,S2301_C02_033E,S2301_C02_033M,S2301_C02_034E,S2301_C02_034M,S2301_C02_035E,S2301_C02_035M,S2301_C03_001E,S2301_C03_001M,S2301_C03_002E,S2301_C03_002M,S2301_C03_003E,S2301_C03_003M,S2301_C03_004E,S2301_C03_004M,S2301_C03_005E,S2301_C03_005M,S2301_C03_006E,S2301_C03_006M,S2301_C03_007E,S2301_C03_007M,S2301_C03_008E,S2301_C03_008M,S2301_C03_009E,S2301_C03_009M,S2301_C03_010E,S2301_C03_010M,S2301_C03_011E,S2301_C03_011M,S2301_C03_012E,S2301_C03_012M,S2301_C03_013E,S2301_C03_013M,S2301_C03_014E,S2301_C03_014M,S2301_C03_015E,S2301_C03_015M,S2301_C03_016E,S2301_C03_016M,S2301_C03_017E,S2301_C03_017M,S2301_C03_018E,S2301_C03_018M,S2301_C03_019E,S2301_C03_019M,S2301_C03_020E,S2301_C03_020M,S2301_C03_021E,S2301_C03_021M,S2301_C03_022E,S2301_C03_022M,S2301_C03_023E,S2301_C03_023M,S2301_C03_024E,S2301_C03_024M,S2301_C03_025E,S2301_C03_025M,S2301_C03_026E,S2301_C03_026M,S2301_C03_027E,S2301_C03_027M,S2301_C03_028E,S2301_C03_028M,S2301_C03_029E,S2301_C03_029M,S2301_C03_030E,S2301_C03_030M,S2301_C03_031E,S2301_C03_031M,S2301_C03_032E,S2301_C03_032M,S2301_C03_033E,S2301_C03_033M,S2301_C03_034E,S2301_C03_034M,S2301_C03_035E,S2301_C03_035M,S2301_C04_001E,S2301_C04_001M,S2301_C04_002E,S2301_C04_002M,S2301_C04_003E,S2301_C04_003M,S2301_C04_004E,S2301_C04_004M,S2301_C04_005E,S2301_C04_005M,S2301_C04_006E,S2301_C04_006M,S2301_C04_007E,S2301_C04_007M,S2301_C04_008E,S2301_C04_008M,S2301_C04_009E,S2301_C04_009M,S2301_C04_010E,S2301_C04_010M,S2301_C04_011E,S2301_C04_011M,S2301_C04_012E,S2301_C04_012M,S2301_C04_013E,S2301_C04_013M,S2301_C04_014E,S2301_C04_014M,S2301_C04_015E,S2301_C04_015M,S2301_C04_016E,S2301_C04_016M,S2301_C04_017E,S2301_C04_017M,S2301_C04_018E,S2301_C04_018M,S2301_C04_019E,S2301_C04_019M,S2301_C04_020E,S2301_C04_020M,S2301_C04_021E,S2301_C04_021M,S2301_C04_022E,S2301_C04_022M,S2301_C04_023E,S2301_C04_023M,S2301_C04_024E,S2301_C04_024M,S2301_C04_025E,S2301_C04_025M,S2301_C04_026E,S2301_C04_026M,S2301_C04_027E,S2301_C04_027M,S2301_C04_028E,S2301_C04_028M,S2301_C04_029E,S2301_C04_029M,S2301_C04_030E,S2301_C04_030M,S2301_C04_031E,S2301_C04_031M,S2301_C04_032E,S2301_C04_032M,S2301_C04_033E,S2301_C04_033M,S2301_C04_034E,S2301_C04_034M,S2301_C04_035E,S2301_C04_035M
0400000US04,Arizona,5975507,2526,387899,2611,498933,872,508668,483,510054,645,933789,630,855798,531,427120,4012,455695,4042,797335,389,600216,344,3696571,7200,264597,2730,227127,3033,222643,2315,11365,784,523355,7830,1029849,9818,1697518,1505,3363460,3072,4190057,884,2121088,522,2068969,785,698016,6010,143099,3635,146256,2825,408661,4696,476341,7313,3633489,7558,463733,6252,3691124,635,400796,5887,860895,7583,1187086,8364,1242347,9485,60.6,0.1,40.4,0.8,77.7,0.6,83.3,0.5,82,0.5,81.5,0.3,80.6,0.3,71.9,0.7,55.7,0.6,23.6,0.5,6.1,0.3,57.6,0.2,67.8,0.8,54.9,0.8,67.6,0.8,66.3,4,64.8,0.6,67.2,0.4,67,0.3,56.5,0.2,77.4,0.2,82.2,0.2,72.5,0.3,71.9,0.5,69.7,1.1,63.8,1.2,75.6,0.6,46.3,0.7,82.9,0.2,51.8,0.7,77.3,0.2,61.3,0.6,72.2,0.5,77.9,0.3,85.5,0.3,57.2,0.2,34.2,0.8,70.2,0.7,77.6,0.5,77.4,0.6,77.4,0.4,77.5,0.4,69.2,0.7,54.1,0.6,22.6,0.4,5.8,0.3,54.6,0.2,61.8,1,49.4,0.8,65.1,0.8,60.4,4.2,61.4,0.7,62.9,0.5,63.1,0.3,53.6,0.2,73.2,0.2,77.4,0.3,68.9,0.3,68.1,0.5,65,1.2,60,1.2,72,0.7,36.5,0.7,79.5,0.2,46.3,0.7,73.6,0.2,57,0.7,67.7,0.5,73.8,0.3,82.9,0.3,5.1,0.1,14.6,0.8,7.8,0.4,5.7,0.4,4.7,0.3,4.5,0.2,3.7,0.2,3.6,0.3,2.9,0.3,4.1,0.4,4.7,0.8,4.5,0.1,7.6,0.7,9.9,0.8,3.3,0.4,6.4,2.5,4.9,0.4,5.8,0.3,5.4,0.2,4.4,0.2,4.7,0.1,4.6,0.2,4.8,0.2,5.2,0.3,6.3,0.8,5.8,0.7,4.6,0.3,21,0.8,3.5,0.1,10.2,0.6,4.3,0.1,6.9,0.5,5.9,0.3,4.5,0.2,2.6,0.2
0500000US04001,"Apache County, Arizona",50724,258,4234,174,4140,153,3966,97,4257,150,7709,136,6994,104,3678,370,4742,369,6816,102,4188,71,11096,292,408,184,36470,289,305,31,52,14,704,230,1689,338,2606,38,10296,80,35486,205,17872,170,17614,122,6303,348,963,210,1787,248,3553,261,9800,729,24794,748,3436,478,31346,210,3601,327,10433,575,12371,717,4941,480,41.8,1.2,9.8,2.6,45.3,4.7,54.5,5,55.6,5.4,63.5,3.6,64.7,3.3,51.1,6.7,41.1,5.4,14.9,2.4,2.3,1.2,42.2,2.8,43.1,21.1,41.2,1.4,57,8.8,48.1,21.3,46.9,12.9,45.5,8.9,51.8,5.7,41.1,3,55.4,1.6,53.4,2,57.4,2.2,63,3,38.9,10,51.4,6.7,75.3,3.4,25.4,2.7,68.2,1.5,18.3,5,56.7,1.6,29.7,4.4,52,2.9,59,3.4,80.7,5.7,37.3,1.2,7.2,2.4,36.3,4.7,45.7,4.8,47,5.2,57.6,3.5,59.8,3.4,47.3,6.3,39.7,5.3,14,2.4,2.3,1.2,41.1,2.9,43.1,21.1,35.5,1.4,49.2,10.9,48.1,21.3,46.4,12.7,43.7,9,49.9,5.7,40.1,3,49.5,1.6,46.6,2,52.3,2.3,57,3.3,34.1,9,46.4,6.7,68.6,4.2,14.6,2,64,1.4,14.9,4.1,51.2,1.6,24.5,3.9,44.4,2.9,53.7,3.3,78.9,5.6,10.7,1.3,26.6,11.6,19.6,6,15.9,4.3,15.5,4.4,9.4,2.3,7.6,2.1,7.5,2.4,3.4,1.9,6.3,5.3,0,35.3,2.6,2,0,22.3,13.9,1.6,13.8,10.9,0,69.8,0.9,1.9,4,3.3,3.7,4.1,2.3,1.9,10.6,1.3,12.6,1.8,8.7,1.7,9.4,2.7,12.5,10.1,9.6,4.2,8.8,3.5,42.4,4.7,6.1,1.1,18.6,9,9.7,1.3,17.5,7.1,14.5,2.6,9.1,2,2.1,1.3
0500000US04003,"Cochise County, Arizona",102646,271,6024,300,6844,139,7301,138,7925,174,14676,169,12710,130,7791,506,8211,504,17877,137,13287,136,66572,1010,3440,313,1224,309,2095,216,260,227,6799,839,22256,1126,32509,171,59130,399,65458,143,33987,85,31471,128,11071,538,2058,280,2409,302,6604,462,8713,738,52146,743,10112,837,58614,181,6172,589,15011,881,21805,906,15626,817,49.4,0.9,38.4,4.5,73.5,4.7,76.2,3.5,75.2,3.5,74.4,2.5,72.9,2.8,54.5,4.5,42.4,3.7,17.9,1.8,5.7,1.5,46.8,1.3,53,5.8,41.3,8.2,49.4,7,84.6,23.7,55.4,4.8,55,3.1,55.3,1.8,45.6,1.3,67.9,1.2,71.3,1.6,64.2,2.1,70.2,3.4,66.6,8.4,59.1,8.1,75.3,4.1,44.5,4.1,75.6,1.3,45.5,4.6,67.3,1.3,52.8,4.6,61.5,3.4,67.6,2.2,78.2,2.8,42.5,1,28.4,3.8,52.4,4.5,59.5,4.1,61.2,4.2,63.2,3.3,68,3.2,52.2,4.4,40.3,4,17.3,1.8,5.4,1.5,40,1.4,36.6,5.8,36.6,7.5,43.3,8.2,36.5,21.5,48.2,4.9,49.3,3.1,48.5,1.9,39.1,1.5,58.2,1.3,58.4,1.9,57.9,2.2,63.5,3.3,60.3,7.7,53.2,7.2,68.3,4.3,31.5,3.3,67.6,1.5,34.9,4.6,58.8,1.5,45.4,5.3,52,3.4,60,2.8,69,3.1,7.4,1,10.5,4.8,10.8,3.7,12,3.5,6.9,2.5,9.1,3.1,5.9,2.2,3,1.9,4.9,2.9,3.2,2.4,5.2,6.2,6.6,1.4,9.5,8,11.5,8,3.4,3.9,51.5,17.4,6.3,2.6,8.8,2.2,10.2,2,5.4,1.2,7.6,1.1,7.4,1.6,7.9,1.6,7.6,2.5,7,6.1,7.1,5.5,7.8,3.6,28.8,5.8,5.5,1,17.1,5.5,7.3,1.1,13.9,5.4,13.7,2.9,5,1.6,3,1.3
0500000US04005,"Coconino County, Arizona",119681,295,13500,614,17985,577,10460,212,9640,131,16751,103,14636,154,7009,537,8740,531,13608,78,7352,45,70590,767,1788,143,27948,512,2374,323,212,104,6591,847,10178,913,16873,158,66526,379,85221,549,43349,137,41872,510,11795,597,2334,421,2372,385,7089,537,13576,1060,67524,1028,10106,826,67236,248,4628,538,14870,846,20507,969,27231,1044,62.4,0.8,39.6,3,71.5,3,85.7,2.5,80.9,3.8,84.3,2.7,80.6,2.5,65.7,4.6,61.4,4,25.2,2.3,6.1,1.8,63,1,64.9,8.7,58.9,2,69.5,6.4,85.8,13.7,58.4,5.1,68.1,4.4,63.7,3,62.9,1.1,76.9,1,77.7,1.6,76,1.6,77.7,2.9,75.9,7.3,71.7,6.2,80.3,3.8,51.4,3.5,84.1,1.1,57.8,4,78.3,1.2,48.4,6.4,70.9,2.5,79.1,2.1,86.8,1.6,58.8,0.9,34.5,3.1,65.3,3.1,81.8,2.9,76.4,3.6,79.1,3.2,77.8,2.3,63.9,4.5,59.4,4,24,2.2,5.9,1.8,60,1,55.9,10.6,54,2.2,64.8,5.5,85.8,13.7,55.9,5.4,63.6,4.4,59.7,3.3,59.9,1.1,72.7,1.1,73.1,1.7,72.4,1.7,74.5,3.1,67.3,8.7,70,6.7,78.3,4,42.5,3.2,80.9,1.2,51.8,4,74.7,1.2,43.4,6.2,67.3,2.9,74.5,2.3,84.3,1.9,5.6,0.7,12.9,3.4,8.3,2.1,4.6,1.9,5.2,1.7,5.4,1.7,3.4,1.2,2.7,1.5,3.3,1.5,4.8,2.2,2.9,4.1,4.6,1,13.9,9.6,8,1.5,6.8,5.3,0,21.7,3.3,2.6,6.3,2.5,5.8,2,4.6,1,5.1,0.7,5.5,1.1,4.7,1.1,3.9,1.5,9.9,6.5,2.3,2.3,2.5,1.6,17.3,4.4,3.4,0.6,10.4,3.6,4.3,0.7,10.4,4.1,5.1,1.7,5.4,1.3,2.7,0.9
0500000US04007,"Gila County, Arizona",44798,162,1932,262,2476,209,2553,93,2742,330,5182,281,5065,123,2918,361,5309,400,9655,85,6966,39,30818,483,275,126,3867,515,368,80,46,57,2386,488,7038,699,7202,49,29325,277,26245,235,13160,168,13085,200,3887,335,688,232,824,238,2375,314,4245,655,21400,696,5326,668,23769,133,2415,404,8263,649,9003,745,4088,535,47.2,1.7,46,7.8,72.6,8.3,86.2,4.8,74.1,8.1,77.3,4.8,68.4,6.2,69.2,7.3,49.9,7,19.1,3.5,3.5,1.3,43.1,2,53.5,28.8,50.1,6.3,71.5,23.2,78.3,52.9,50,7.8,61,4.8,57.7,4.1,42.7,2.1,69.2,2.7,74.3,4,64.1,3.7,74.6,6.4,68.5,16.3,60.4,14.6,81.3,7.3,37.6,6.2,77.4,2.5,44.4,6.2,68.9,2.8,55.4,8.6,69.4,3.6,67.7,4,78.4,6.3,43.6,1.8,39.3,8.2,63.8,8.9,78.3,6.6,67.3,7.9,67.3,5.4,64,6.2,67.6,7.2,48.9,6.9,19,3.5,3.2,1.2,40.9,2.1,43.6,28.2,43.6,6.5,67.4,22.5,78.3,52.9,46.4,6.6,53.2,4.6,53.3,3.9,40.4,2.1,63.7,2.7,66.6,4.1,60.8,3.8,71.3,6.4,62.2,17.1,54.6,15.6,79.7,7.5,26.4,5.3,72.9,2.6,41.3,6.1,63.7,2.7,40.9,8.9,64.8,3.8,64.4,4.1,73.4,6.2,7.1,1.7,14.6,9.8,12.2,6.7,9.2,5.6,9.2,5.6,10.4,4.6,5.9,3.1,2.3,2,2,2,0.8,1.4,8.9,13.1,5.1,2,18.4,29.9,13,6.2,5.7,9.8,0,58.2,7.4,6.7,10.1,3.4,4.8,2.8,5.4,2.1,7.3,1.9,9.1,2.7,5.2,2.2,4.4,3.2,9.1,14,9.6,10,1.9,2.2,29.7,9.8,5.1,1.6,6.5,3.5,6.8,1.9,26.2,12.8,6.5,2.8,4.8,2.2,2.5,2.2
0500000US04009,"Graham County, Arizona",30250,128,2301,257,2714,198,2828,90,2896,69,5379,144,4436,106,1735,230,2274,262,3459,89,2228,99,18971,497,639,83,2596,282,211,115,76,50,1564,386,6193,631,9078,89,16143,147,22262,229,12372,174,9890,218,4045,364,522,152,1217,244,2306,279,3423,457,16316,468,2745,402,19548,125,3056,406,6393,535,7381,591,2718,443,53.4,1.7,52.3,9,81.3,5.2,71.7,6,67.5,6.4,57.8,5.1,69.1,4.7,54.5,7.1,43.9,9.4,17.1,4.2,1.9,1.4,54.3,2.3,26.9,18.9,43.6,6,74.9,22.9,80.3,32.2,50.6,9.2,56.8,5.2,57.9,3.4,53.4,2.4,64.3,2.1,64.3,2.5,64.2,3.2,66.8,5.3,71.8,16.4,53,11.3,73,7.3,42.6,7.7,78.6,2.2,40.6,7.8,61.9,2.3,30.7,7.4,63.5,4.3,67.4,3.5,78.4,5.9,49.2,1.6,44.2,8.8,71,7.5,64.2,7.4,63.7,6.3,53.4,5.4,66.6,4.7,52.1,7.4,43.1,9.4,15.7,4.2,1.9,1.4,51,2.1,26.9,18.9,36,6.4,74.9,22.9,80.3,32.2,47.8,8.6,50.8,5.5,54.4,3.6,50.2,2.2,59.7,2.1,58.8,2.6,60.9,3.2,63.2,5.4,68,17.3,50.1,11.3,69.1,6.6,31.1,6.5,74.9,2.6,36.7,7.7,58.2,2.2,27.2,7.7,58.8,4.3,63.1,3.6,78,6,7.7,1.7,15.5,7.3,12.6,6,10.5,5.4,5.7,3.7,7.6,3.8,3.6,2,4.3,3.9,1.9,1.8,8.3,8.9,0,53.8,6.1,2,0,22.7,17.5,8.2,0,24.4,0,44.7,5.7,5.4,10.5,4.3,6,2.8,6,2,7,1.8,8.6,2.5,5.1,1.9,5.4,3,5.3,7.6,5.4,4.8,5.4,3.7,26.8,9.4,4.8,1.5,9.6,6.4,6,1.7,11.5,7.5,7.3,3.2,6.3,2.7,0.6,1.1
0500000US04011,"Greenlee County, Arizona",7305,71,463,79,468,101,544,129,949,195,1455,267,1079,243,683,199,335,125,796,74,533,105,4093,299,103,52,196,121,134,171,0,20,609,227,2170,359,3298,34,3299,57,5513,135,3096,115,2417,149,1237,182,267,134,339,123,631,212,488,216,4998,248,828,214,5045,176,746,206,1586,297,1583,323,1130,297,55.7,4.5,15.1,12.7,74.4,19.1,73,14.6,57.3,14.7,79.9,10.2,74.3,13,63.3,14.7,46.9,16.2,20.1,7.3,0,8.1,58.5,6.3,83.5,23.2,36.2,42.2,99.3,2.8,-,**,34.3,19.2,54.4,7.3,58.4,6.4,52.6,5.8,69.7,5.2,82.8,5.2,52.9,9.9,51.7,12.9,16.5,18.1,68.7,20,57.4,20,38.1,17,73.1,5,37.3,10.5,69.3,5.4,55.8,14.8,72.8,9.3,60.6,9.1,85.2,9.3,54.4,4.6,3.5,3.4,68.6,21,73,14.6,57.3,14.7,79.3,10.4,74.3,13,63.3,14.7,45.1,15.9,20.1,7.3,0,8.1,56.5,6.3,83.5,23.2,36.2,42.2,99.3,2.8,-,**,34.3,19.2,53.7,7.5,57,6.5,51.4,5.6,68.9,5.3,82.8,5.2,51.2,10,51,13,16.5,18.1,68.7,20,56.1,20,36.5,16.9,72.5,5.1,35.6,10.6,69,5.4,54.7,14.8,72.8,9.3,60.3,9.1,85.2,9.3,2.3,1.9,77.1,26.8,7.8,13,0,10.7,0,7.9,0.7,1.2,0,5.5,0,9.9,3.8,6.4,0,24.2,-,**,3.4,3.2,0,37.6,0,41.4,0,28,-,**,0,19.2,1.2,1.6,2.5,3.2,2.4,3.1,1.1,1.3,0,1.7,3.2,4.1,1.3,2,0,52.6,0,17.5,2.2,3.8,4.3,7.3,0.9,1.4,4.5,6.2,0.4,0.5,1.9,3.2,0,3.8,0.6,1.2,0,4.6
0500000US04012,"La Paz County, Arizona",14430,61,377,118,619,126,840,175,540,148,1447,197,1438,152,798,129,1182,143,3048,147,4141,142,9231,132,238,63,1771,148,197,30,2,4,904,265,2087,330,3121,43,8952,82,6864,148,3351,104,3513,70,1269,198,248,139,229,84,792,132,1418,297,5378,336,847,192,6245,196,947,236,2167,286,2205,300,926,178,42.9,2.9,41.1,11.9,65.9,26.9,91.2,7.4,86.9,9.1,86.4,10.2,81.2,7.3,75.7,11.5,38.7,11.4,16.6,4.7,9.9,4.9,31.2,3.6,27.3,23.6,63.2,5.5,58.9,20.1,50,50,61.8,17.5,69.4,8.1,70.2,8.2,29.9,3.6,74.6,5,82.4,7.4,67.2,6.3,80.2,8.5,48.4,30.1,91.7,9.8,86.9,6.2,49.4,12.3,82.2,3.5,55,10.6,75.5,4.3,76.9,11,71,6.6,78.6,7.2,77.1,8.6,38.4,2.9,30.2,11.5,61.4,27.4,80.1,10.2,78.3,11.3,76.2,10.7,66.3,10.6,70.2,12,38.4,11.5,15.7,4.5,9.9,4.9,28.8,3.8,25.6,23.2,55.1,5.9,49.2,17.5,50,50,58.4,16.2,58.6,9.8,60.7,8.5,27.7,3.8,66.2,5.1,73.6,7.7,59.2,6.1,72.3,9.5,41.5,26,78.2,16.9,80.2,8.4,29.2,8,76.8,4,37.4,12.3,66.7,4.9,57.8,16.9,64.9,7.7,70.7,7.8,70.6,9.9,10,3.3,26.5,18.3,6.9,8.8,12.1,8.8,9.8,8.2,10,5.4,18.3,15.3,7.3,9.2,0.9,3.2,5.1,5.3,0,10.4,6.8,3.5,6.2,15,12.9,5.5,16.4,21,0,100,5.5,6.6,15.6,12.9,13.5,8.7,6.7,3.9,10.8,4,9.9,4.4,11.9,5.5,9.9,6.5,14.2,22.6,14.8,16.9,7.7,6.8,40.9,20.4,6,2.5,30.3,16.7,11.2,4.3,24.9,21.9,7.1,5.8,10.1,5.3,8.4,8.5
0500000US04013,"Maricopa County, Arizona",3658586,2020,241878,2008,302818,144,333314,*****,334221,*****,609751,*****,560093,*****,269047,3101,264650,3102,425078,34,317736,36,2250380,4811,199649,2309,70584,2425,173722,2121,7271,553,327129,6035,629851,7106,1031481,1233,2057427,2308,2673894,144,1345527,82,1328367,130,453557,4486,94280,2730,90086,2116,269191,3638,261169,5120,2384080,5501,266529,4523,2371076,*****,250424,4424,512103,6056,724475,6324,884074,6746,65.1,0.2,42.2,1,80.4,0.7,85.1,0.6,84.5,0.6,83.2,0.4,82.8,0.4,75.3,0.8,60.4,0.8,26.9,0.6,6.7,0.3,62.3,0.2,71,1,66.5,1.4,69.2,0.9,69.4,4.9,68,0.7,70.3,0.5,69.8,0.4,61.4,0.2,80.1,0.2,85.8,0.3,74.4,0.3,72.4,0.6,71.3,1.3,65.3,1.5,75.1,0.8,47.5,0.9,84.5,0.2,55.2,0.9,80.1,0.2,64.7,0.8,75.3,0.6,80.9,0.4,86.6,0.3,61.9,0.2,36.1,1,74,0.8,80.4,0.6,80.6,0.6,79.8,0.4,79.9,0.5,72.8,0.8,58.9,0.8,25.8,0.6,6.4,0.3,59.5,0.2,65.3,1.1,61,1.6,66.8,1,65.6,5.2,65,0.8,66.4,0.5,66.3,0.4,58.8,0.2,76.6,0.2,82,0.3,71.1,0.3,68.8,0.6,67.3,1.4,61.6,1.6,71.8,0.8,37.9,0.9,81.6,0.2,50,0.9,76.9,0.2,61.5,0.9,71.4,0.6,77.2,0.4,84.3,0.3,4.5,0.1,13.9,1,7.1,0.5,4.8,0.4,4.3,0.4,3.8,0.2,3.3,0.3,3.3,0.3,2.5,0.3,4,0.5,4.6,1,4.1,0.1,7.5,0.8,8.2,1.5,3.3,0.5,3.9,2,4.2,0.4,5.2,0.4,4.8,0.3,4,0.2,4.1,0.1,4,0.2,4.3,0.2,4.8,0.4,5.4,1,5.4,0.9,4.4,0.4,20.2,1.2,3.1,0.1,9.3,0.8,3.7,0.1,5,0.4,5.1,0.3,4.2,0.2,2.5,0.2
0500000US04015,"Mohave County, Arizona",189002,387,7601,414,9001,161,10505,160,11800,223,21015,159,22117,199,14687,843,20340,855,40832,153,31104,177,153079,1146,2119,315,2808,299,2299,231,292,92,10224,998,18181,1284,28958,170,145821,563,109465,207,55633,146,53832,141,15585,887,3043,523,3463,487,9079,676,18253,1423,88152,1486,19151,1126,100464,213,13386,936,32919,1429,38258,1636,15901,1206,44.5,0.8,40,4.5,72.9,4.8,80.3,3.3,75.8,3.6,79.4,2.1,70.8,3.1,58.7,3.7,40.4,3.1,15.4,1.7,5.2,0.9,42.7,1,45.4,9.7,45.8,6.5,54.6,5.4,42.8,24.6,58.7,4.7,50.2,3.4,57.9,2.3,41.6,0.9,66.8,1.2,69.7,1.7,63.8,1.5,76.9,2.8,70,7.7,69.9,6.1,81.9,3.2,41.3,3.3,74.4,1.4,38.1,3.5,66.3,1.4,57.3,4.4,63.8,2.2,66.7,2.6,77.8,2.4,41.2,0.8,33,4.5,67.8,5,74.6,3.8,68.2,3.8,72.8,2.7,66.7,3.1,55.3,3.7,38.4,3,14.5,1.6,4.7,0.9,39.4,0.9,39.5,9.7,41,6.4,52.2,5.2,42.8,24.6,55,4.5,47.5,3.5,53.8,2.3,38.6,0.9,62.1,1.2,64.1,1.8,60,1.7,71.6,3.2,68,7.6,64.2,6.6,75.7,3.9,29.4,3.4,71,1.4,32.2,3.4,61.6,1.3,48.9,4,58.6,2.3,63.1,2.6,74.8,2.5,7.3,0.9,17.6,6.8,7,2.6,7.1,2.9,9.2,3.1,8.2,2.2,5.9,1.6,5.7,2,4.8,2.3,5.6,2.3,9.4,7.9,7.5,1.1,13.1,8.6,9.7,4.9,4.4,3.6,0,29.4,6.3,2.9,5.4,2.1,6.9,1.9,7.3,1.1,6.9,1,7.8,1.3,5.9,1.3,6.9,2.1,2.9,3,8.1,4.7,7.6,2.9,28.9,5.9,4.4,0.8,15.4,5.2,6.9,1,14.6,4.4,7.8,2,5.3,1.3,3.9,1.4
