county,year,labor_force,employment,unemployment,unemployment_rate,median_income,poverty_rate,bachelors_plus_pct,labor_force_participation_rate,total_population,median_age
Apache County,2024,18218,16964,1254,6.9,41438,30.5,16.56434474616293,10.7,65341,36.6
Apache County,2024,18218,16964,1254,6.9,41438,30.5,16.56434474616293,10.7,65341,36.6
Apache County,2024,18218,16964,1254,6.9,41438,30.5,16.56434474616293,10.7,65341,36.6
Apache County,2024,18218,16964,1254,6.9,41438,30.5,16.56434474616293,10.7,65341,36.6
Apache County,2024,18218,16964,1254,6.9,41438,30.5,16.56434474616293,10.7,65341,36.6
Apache County,2024,18218,16964,1254,6.9,41438,30.5,16.56434474616293,10.7,65341,36.6
Apache County,2024,18218,16964,1254,6.9,41438,30.5,16.56434474616293,10.7,65341,36.6
Apache County,2024,18218,16964,1254,6.9,41438,30.5,16.56434474616293,10.7,65341,36.6
Cochise County,2024,47983,45945,2038,4.2,59742,15.4,28.094856200850987,7.4,125566,43.0
Cochise County,2024,47983,45945,2038,4.2,59742,15.4,28.094856200850987,7.4,125566,43.0
Cochise County,2024,47983,45945,2038,4.2,59742,15.4,28.094856200850987,7.4,125566,43.0
Cochise County,2024,47983,45945,2038,4.2,59742,15.4,28.094856200850987,7.4,125566,43.0
Cochise County,2024,47983,45945,2038,4.2,59742,15.4,28.094856200850987,7.4,125566,43.0
Cochise County,2024,47983,45945,2038,4.2,59742,15.4,28.094856200850987,7.4,125566,43.0
Cochise County,2024,47983,45945,2038,4.2,59742,15.4,28.094856200850987,7.4,125566,43.0
Cochise County,2024,47983,45945,2038,4.2,59742,15.4,28.094856200850987,7.4,125566,43.0
Coconino County,2024,75759,72839,2920,3.9,72966,16.8,40.34083178375437,5.6,144508,32.8
Coconino County,2024,75759,72839,2920,3.9,72966,16.8,40.34083178375437,5.6,144508,32.8
Coconino County,2024,75759,72839,2920,3.9,72966,16.8,40.34083178375437,5.6,144508,32.8
Coconino County,2024,75759,72839,2920,3.9,72966,16.8,40.34083178375437,5.6,144508,32.8
Coconino County,2024,75759,72839,2920,3.9,72966,16.8,40.34083178375437,5.6,144508,32.8
Coconino County,2024,75759,72839,2920,3.9,72966,16.8,40.34083178375437,5.6,144508,32.8
Coconino County,2024,75759,72839,2920,3.9,72966,16.8,40.34083178375437,5.6,144508,32.8
Coconino County,2024,75759,72839,2920,3.9,72966,16.8,40.34083178375437,5.6,144508,32.8
Gila County,2024,21412,20626,786,3.7,61986,16.9,18.732359494924484,7.1,53795,51.1
Gila County,2024,21412,20626,786,3.7,61986,16.9,18.732359494924484,7.1,53795,51.1
Gila County,2024,21412,20626,786,3.7,61986,16.9,18.732359494924484,7.1,53795,51.1
Gila County,2024,21412,20626,786,3.7,61986,16.9,18.732359494924484,7.1,53795,51.1
Gila County,2024,21412,20626,786,3.7,61986,16.9,18.732359494924484,7.1,53795,51.1
Gila County,2024,21412,20626,786,3.7,61986,16.9,18.732359494924484,7.1,53795,51.1
Gila County,2024,21412,20626,786,3.7,61986,16.9,18.732359494924484,7.1,53795,51.1
Gila County,2024,21412,20626,786,3.7,61986,16.9,18.732359494924484,7.1,53795,51.1
Graham County,2024,16809,16250,559,3.3,67325,17.3,14.578957796710917,7.7,39232,34.9
Graham County,2024,16809,16250,559,3.3,67325,17.3,14.578957796710917,7.7,39232,34.9
Graham County,2024,16809,16250,559,3.3,67325,17.3,14.578957796710917,7.7,39232,34.9
Graham County,2024,16809,16250,559,3.3,67325,17.3,14.578957796710917,7.7,39232,34.9
Graham County,2024,16809,16250,559,3.3,67325,17.3,14.578957796710917,7.7,39232,34.9
Graham County,2024,16809,16250,559,3.3,67325,17.3,14.578957796710917,7.7,39232,34.9
Graham County,2024,16809,16250,559,3.3,67325,17.3,14.578957796710917,7.7,39232,34.9
Graham County,2024,16809,16250,559,3.3,67325,17.3,14.578957796710917,7.7,39232,34.9
Greenlee County,2024,5267,5140,127,2.4,71164,8.2,20.86601819893317,2.3,9409,36.3
Greenlee County,2024,5267,5140,127,2.4,71164,8.2,20.86601819893317,2.3,9409,36.3
Greenlee County,2024,5267,5140,127,2.4,71164,8.2,20.86601819893317,2.3,9409,36.3
Greenlee County,2024,5267,5140,127,2.4,71164,8.2,20.86601819893317,2.3,9409,36.3
Greenlee County,2024,5267,5140,127,2.4,71164,8.2,20.86601819893317,2.3,9409,36.3
Greenlee County,2024,5267,5140,127,2.4,71164,8.2,20.86601819893317,2.3,9409,36.3
Greenlee County,2024,5267,5140,127,2.4,71164,8.2,20.86601819893317,2.3,9409,36.3
Greenlee County,2024,5267,5140,127,2.4,71164,8.2,20.86601819893317,2.3,9409,36.3
La Paz County,2024,5961,5622,339,5.7,49478,17.5,13.458389161828196,10.0,16664,60.2
La Paz County,2024,5961,5622,339,5.7,49478,17.5,13.458389161828196,10.0,16664,60.2
La Paz County,2024,5961,5622,339,5.7,49478,17.5,13.458389161828196,10.0,16664,60.2
La Paz County,2024,5961,5622,339,5.7,49478,17.5,13.458389161828196,10.0,16664,60.2
La Paz County,2024,5961,5622,339,5.7,49478,17.5,13.458389161828196,10.0,16664,60.2
La Paz County,2024,5961,5622,339,5.7,49478,17.5,13.458389161828196,10.0,16664,60.2
La Paz County,2024,5961,5622,339,5.7,49478,17.5,13.458389161828196,10.0,16664,60.2
